unemployment,unemployment_rate,name_en,Date
404000,10.6,Belgium                                  ,1983-01-01
402000,10.5,Belgium                                  ,1983-02-01
396000,10.4,Belgium                                  ,1983-03-01
389000,10.2,Belgium                                  ,1983-04-01
383000,10.1,Belgium                                  ,1983-05-01
380000,10,Belgium                                  ,1983-06-01
402000,10.5,Belgium                                  ,1983-07-01
433000,11.2,Belgium                                  ,1983-08-01
444000,11.5,Belgium                                  ,1983-09-01
444000,11.5,Belgium                                  ,1983-10-01
438000,11.3,Belgium                                  ,1983-11-01
432000,11.1,Belgium                                  ,1983-12-01
428000,11,Belgium                                  ,1984-01-01
422000,10.9,Belgium                                  ,1984-02-01
413000,10.7,Belgium                                  ,1984-03-01
402000,10.4,Belgium                                  ,1984-04-01
394000,10.2,Belgium                                  ,1984-05-01
389000,10.1,Belgium                                  ,1984-06-01
408000,10.5,Belgium                                  ,1984-07-01
440000,11.2,Belgium                                  ,1984-08-01
447000,11.4,Belgium                                  ,1984-09-01
441000,11.2,Belgium                                  ,1984-10-01
434000,11.1,Belgium                                  ,1984-11-01
425000,10.9,Belgium                                  ,1984-12-01
424000,10.8,Belgium                                  ,1985-01-01
419000,10.7,Belgium                                  ,1985-02-01
400000,10.2,Belgium                                  ,1985-03-01
383000,9.8,Belgium                                  ,1985-04-01
372000,9.6,Belgium                                  ,1985-05-01
362000,9.3,Belgium                                  ,1985-06-01
375000,9.6,Belgium                                  ,1985-07-01
400000,10.2,Belgium                                  ,1985-08-01
406000,10.4,Belgium                                  ,1985-09-01
405000,10.3,Belgium                                  ,1985-10-01
400000,10.2,Belgium                                  ,1985-11-01
400000,10.2,Belgium                                  ,1985-12-01
403000,10.3,Belgium                                  ,1986-01-01
398000,10.2,Belgium                                  ,1986-02-01
389000,9.9,Belgium                                  ,1986-03-01
380000,9.7,Belgium                                  ,1986-04-01
372000,9.6,Belgium                                  ,1986-05-01
367000,9.4,Belgium                                  ,1986-06-01
382000,9.8,Belgium                                  ,1986-07-01
401000,10.2,Belgium                                  ,1986-08-01
403000,10.3,Belgium                                  ,1986-09-01
406000,10.4,Belgium                                  ,1986-10-01
403000,10.3,Belgium                                  ,1986-11-01
401000,10.3,Belgium                                  ,1986-12-01
402000,10.3,Belgium                                  ,1987-01-01
393000,10.1,Belgium                                  ,1987-02-01
380000,9.8,Belgium                                  ,1987-03-01
370000,9.6,Belgium                                  ,1987-04-01
361000,9.4,Belgium                                  ,1987-05-01
354000,9.3,Belgium                                  ,1987-06-01
370000,9.6,Belgium                                  ,1987-07-01
388000,10,Belgium                                  ,1987-08-01
388000,10,Belgium                                  ,1987-09-01
385000,10,Belgium                                  ,1987-10-01
379000,9.8,Belgium                                  ,1987-11-01
374000,9.7,Belgium                                  ,1987-12-01
372000,9.6,Belgium                                  ,1988-01-01
363000,9.5,Belgium                                  ,1988-02-01
350000,9.1,Belgium                                  ,1988-03-01
338000,8.8,Belgium                                  ,1988-04-01
326000,8.6,Belgium                                  ,1988-05-01
317000,8.3,Belgium                                  ,1988-06-01
331000,8.6,Belgium                                  ,1988-07-01
348000,9,Belgium                                  ,1988-08-01
343000,8.9,Belgium                                  ,1988-09-01
333000,8.6,Belgium                                  ,1988-10-01
324000,8.4,Belgium                                  ,1988-11-01
319000,8.2,Belgium                                  ,1988-12-01
314000,8.1,Belgium                                  ,1989-01-01
304000,7.9,Belgium                                  ,1989-02-01
294000,7.6,Belgium                                  ,1989-03-01
282000,7.3,Belgium                                  ,1989-04-01
269000,7,Belgium                                  ,1989-05-01
263000,6.8,Belgium                                  ,1989-06-01
276000,7.1,Belgium                                  ,1989-07-01
295000,7.6,Belgium                                  ,1989-08-01
294000,7.6,Belgium                                  ,1989-09-01
285000,7.3,Belgium                                  ,1989-10-01
278000,7.2,Belgium                                  ,1989-11-01
274000,7.1,Belgium                                  ,1989-12-01
272000,7,Belgium                                  ,1990-01-01
265000,6.8,Belgium                                  ,1990-02-01
254000,6.6,Belgium                                  ,1990-03-01
244000,6.3,Belgium                                  ,1990-04-01
236000,6.1,Belgium                                  ,1990-05-01
231000,6,Belgium                                  ,1990-06-01
248000,6.4,Belgium                                  ,1990-07-01
267000,6.8,Belgium                                  ,1990-08-01
267000,6.8,Belgium                                  ,1990-09-01
263000,6.7,Belgium                                  ,1990-10-01
259000,6.6,Belgium                                  ,1990-11-01
258000,6.5,Belgium                                  ,1990-12-01
257000,6.5,Belgium                                  ,1991-01-01
254000,6.4,Belgium                                  ,1991-02-01
247000,6.3,Belgium                                  ,1991-03-01
240000,6.1,Belgium                                  ,1991-04-01
234000,5.9,Belgium                                  ,1991-05-01
233000,5.9,Belgium                                  ,1991-06-01
249000,6.3,Belgium                                  ,1991-07-01
270000,6.7,Belgium                                  ,1991-08-01
274000,6.8,Belgium                                  ,1991-09-01
273000,6.8,Belgium                                  ,1991-10-01
272000,6.8,Belgium                                  ,1991-11-01
273000,6.8,Belgium                                  ,1991-12-01
276000,6.9,Belgium                                  ,1992-01-01
274000,6.8,Belgium                                  ,1992-02-01
269000,6.7,Belgium                                  ,1992-03-01
266000,6.6,Belgium                                  ,1992-04-01
263000,6.5,Belgium                                  ,1992-05-01
263000,6.5,Belgium                                  ,1992-06-01
282000,7,Belgium                                  ,1992-07-01
304000,7.5,Belgium                                  ,1992-08-01
310000,7.6,Belgium                                  ,1992-09-01
310000,7.6,Belgium                                  ,1992-10-01
311000,7.6,Belgium                                  ,1992-11-01
317000,7.8,Belgium                                  ,1992-12-01
324000,8,Belgium                                  ,1993-01-01
326000,8,Belgium                                  ,1993-02-01
